         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.012    0.001    0.017    0.001 /home/sergi/projects/postquantic-pot-code/src/context/context.py:259(bits_to_poly)
        4    0.002    0.000    0.017    0.004 /home/sergi/projects/postquantic-pot-code/src/context/context.py:208(get_mask_of_element)
     1023    0.003    0.000    0.016    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/ffsampling.py:63(ldl_fft)
    86/48    0.000    0.000    0.016    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:993(_super_categories)
    66/28    0.000    0.000    0.015    0.001 /usr/lib/python3.13/site-packages/sage/categories/category_with_axiom.py:1977(__classcall__)
        3    0.000    0.000    0.015    0.005 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring.py:399(__init__)
    36864    0.015    0.000    0.015    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:270(f)
        4    0.000    0.000    0.015    0.004 /home/sergi/projects/postquantic-pot-code/src/ecoin/kyber.py:60(digest)
        3    0.000    0.000    0.015    0.005 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:60(blob)
     1609    0.014    0.000    0.014    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:145(div_fft)
    37/18    0.000    0.000    0.014    0.001 /usr/lib/python3.13/site-packages/sage/categories/category_types.py:349(__init__)
    37/18    0.000    0.000    0.014    0.001 /usr/lib/python3.13/site-packages/sage/categories/category_types.py:173(__init__)
       20    0.000    0.000    0.013    0.001 /usr/lib/python3.13/site-packages/sage/categories/category.py:2083(_with_axiom)
        3    0.000    0.000    0.013    0.004 /home/sergi/projects/postquantic-pot-code/src/context/context.py:100(Zpx)
   177/46    0.001    0.000    0.013    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:2027(_with_axiom_as_tuple)
       37    0.000    0.000    0.013    0.000 /usr/lib/python3.13/site-packages/sage/modules/free_module.py:5732(_repr_)
       12    0.000    0.000    0.013    0.001 /home/sergi/projects/postquantic-pot-code/src/context/context.py:160(get_gauss)
       37    0.012    0.000    0.013    0.000 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring.py:772(_repr_)
       13    0.000    0.000    0.013    0.001 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:105(sum_all)
       39    0.000    0.000    0.012    0.000 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:106(<genexpr>)
       15    0.000    0.000    0.012    0.001 /usr/lib/python3.13/site-packages/Crypto/Hash/CMAC.py:259(new)
       15    0.000    0.000    0.012    0.001 /usr/lib/python3.13/site-packages/Crypto/Hash/CMAC.py:51(__init__)
        1    0.000    0.000    0.011    0.011 /home/sergi/projects/postquantic-pot-code/src/falcon/ntt.py:127(div_zq)
    55296    0.011    0.000    0.011    0.000 {method 'python_random' of 'sage.misc.randstate.randstate' objects}
       11    0.000    0.000    0.011    0.001 /usr/lib/python3.13/site-packages/sage/matrix/matrix_space.py:677(__classcall__)
       12    0.007    0.001    0.011    0.001 /usr/lib/python3.13/site-packages/sage/stats/distributions/discrete_gaussian_polynomial.py:115(__call__)
   3069/3    0.003    0.000    0.011    0.004 /home/sergi/projects/postquantic-pot-code/src/falcon/ntt.py:62(ntt)
  122/118    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        3    0.000    0.000    0.010    0.003 /usr/lib/python3.13/site-packages/sage/categories/rings.py:1204(__getitem__)
        3    0.000    0.000    0.010    0.003 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring_constructor.py:60(PolynomialRing)
      4/3    0.000    0.000    0.010    0.003 {built-in method builtins.__import__}
        3    0.000    0.000    0.010    0.003 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring_constructor.py:756(_single_variate)
    24/14    0.000    0.000    0.010    0.001 /usr/lib/python3.13/site-packages/sage/categories/category_with_axiom.py:2506(__init__)
        3    0.000    0.000    0.010    0.003 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring.py:3407(__init__)
     29/4    0.000    0.000    0.010    0.002 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:385(category_of)
    67/54    0.001    0.000    0.010    0.000 /usr/lib/python3.13/site-packages/sage/categories/homset.py:87(Hom)
    68199    0.010    0.000    0.010    0.000 {method 'getrandbits' of '_random.Random' objects}
    56358    0.009    0.000    0.009    0.000 {method 'bit_length' of 'int' objects}
        3    0.000    0.000    0.009    0.003 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring.py:3229(__init__)
